SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Negative Reserve,Constraints,Other
01/04/2019,1,4076.526,4250.488,777.4379518,0,17358.44105,0
01/04/2019,2,-972.513,3146.686,0,0,16074.842,2003.841
01/04/2019,3,-11177.527,2966.001,0.146,0,17150.317,2028.697
01/04/2019,4,10.412,13290.40423,169.9201121,0,17160.96248,365.7031781
01/04/2019,5,5781.16,1896.677,0,0,16503.201,2.313
01/04/2019,6,6366.639,2332.346,0,0,16337.184,0
01/04/2019,7,977.058,3097.84,0,0,16362.41,0
01/04/2019,8,8857.962,8019.105,6.291,0,16727.223,27.649
01/04/2019,9,15215.074,2583.841,-12.542,0,12665.467,0
01/04/2019,10,12120.761,1948.311,-29.792,0,12871.235,14.335
01/04/2019,11,23894.3,1362.6,1545.783,0,13342.135,10.251
01/04/2019,12,18047.744,2738.743,1098.666,0,12894.988,177
01/04/2019,13,8.323,2822.463505,2112.761347,0,13519.69515,0
01/04/2019,14,-6815.901,4218.6,485.357,0,15515.953,900.386
01/04/2019,15,-17624.395,201.644,6862.099,0,0,745.487
01/04/2019,16,-2239.268,742.746842,5973.281,0,1460.285486,1218.039672
01/04/2019,17,-905.924,1187.100374,5785.209,1010.299066,1758.372812,1140.925748
01/04/2019,18,-4295.275,1372.606,4640.428,0,1356.862,984.754
01/04/2019,19,-6290.483,547.9312275,1475.414,0,0,500.7137725
01/04/2019,20,-12284.674,117.559,0,0,42.162,422.141
01/04/2019,21,-16448.93,969.057,0,0,1144.136,634.387
01/04/2019,22,-4348.037,1463.345639,0,0,3431.417974,1369.618387
01/04/2019,23,10284.983,227.9757631,0,0,5041.393,956.5272369
01/04/2019,24,8244.312,364.5869872,0,0,8940.288,460.1530128
01/04/2019,25,4506.719,212.3805022,0,0,13882.547,327.6564978
01/04/2019,26,-1795.757,1182.818,0,0,11933.95318,521.0058243
01/04/2019,27,-4518.754,1626.368,0,0,7658.082341,342.5456592
01/04/2019,28,-8223.235,1708.979,0,0,7082.618575,246.8944252
