SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2022-04-01,1,-23190.057,3192.485,8956.299,0.0,0.0,13029.471
2022-04-01,2,-25713.843,197.786,7800.45,0.0,0.0,5459.051
2022-04-01,3,-18663.7,325.04,7794.7,0.0,0.0,1655.796
2022-04-01,4,-34551.379,452.542,8884.744,0.0,0.0,12512.585
2022-04-01,5,-15701.662,3374.0649891378007,14204.068,0.0,0.0,15497.9150108622
2022-04-01,6,-1233.168,7866.441127878132,9228.0,0.0,0.0,6688.800872121868
2022-04-01,7,53936.295,15584.885999999999,10259.433,0.0,0.0,5144.829
2022-04-01,8,104668.169,14286.195632870189,13286.153820072343,0.0,0.0,9005.684547057468
2022-04-01,9,103662.702,21177.275,10900.62,0.0,0.0,8528.858
2022-04-01,10,74550.006,26456.167999999998,15957.463,0.0,0.0,1342.319
2022-04-01,11,44719.351,13863.612008986018,31262.45076676186,0.0,0.0,2039.7952242521217
2022-04-01,12,37012.516,3683.7405422477987,58262.7494577522,0.0,0.0,0.0
2022-04-01,13,81335.484,2337.932847508633,50987.486152491365,0.0,0.0,-5.99e-36
2022-04-01,14,32715.994,6983.126020493932,61247.99397950607,0.0,0.0,0.0
2022-04-01,15,103774.271,17648.33677882101,43482.700715550935,0.0,0.0,32475.12550562806
2022-04-01,16,190284.356,7753.071029931689,29651.984227342884,0.0,0.0,28578.836742725427
2022-04-01,17,333891.702,4883.514182153079,35488.5067442941,0.0,0.0,12621.091073552823
2022-04-01,18,160649.859,6613.538145996957,72954.30432998398,0.0,0.0,42267.56152401907
2022-04-01,19,-1427.307,7194.92,34881.607,0.0,0.0,42153.785
2022-04-01,20,86615.675,4005.736,63539.9902244898,0.0,0.0,2254.773775510204
2022-04-01,21,53516.584,1260.74,77167.318,0.0,0.0,0.0
2022-04-01,22,35572.901,-4111.299,94479.082,0.0,0.0,1e-38
2022-04-01,23,50107.451,548.48,92507.402,0.0,0.0,5e-38
2022-04-01,24,30660.062,-7482.213,95449.597,0.0,0.0,0.0
2022-04-01,25,199704.786,12002.675752147763,57310.44002822356,0.0,0.0,2900.5322196286784
2022-04-01,26,148288.77,3117.024,47958.082,0.0,0.0,0.0
2022-04-01,27,98697.29,2253.569,56616.36,0.0,0.0,0.0
2022-04-01,28,13996.516,-3473.09,85535.001,0.0,0.0,1e-36
2022-04-01,29,3991.971,-9984.883,86026.879,0.0,0.0,-3e-36
2022-04-01,30,-43351.036,332.86,77194.45,0.0,0.0,2184.037
2022-04-01,31,-98419.606,542.708,74397.28,0.0,0.0,1177.12
2022-04-01,32,-93852.55,327.665,70949.47,0.0,0.0,1001.073
2022-04-01,33,-40359.186,2088.459,61840.088,0.0,0.0,2238.001
2022-04-01,34,-60881.397,1633.21,42589.702,0.0,0.0,184.226
2022-04-01,35,-37906.668,0.0,45552.14,0.0,0.0,1048.907
2022-04-01,36,-20938.115,745.471499320547,38349.281,0.0,0.0,4974.149500679453
2022-04-01,37,-33223.536,1068.4279999999999,20390.2,0.0,0.0,3381.728
2022-04-01,38,18382.28,-1177.623,33505.58665687212,0.0,0.0,7982.691343127882
2022-04-01,39,-10117.282,5301.191114943967,4594.428,0.0,0.0,6979.415885056033
2022-04-01,40,23485.192,-3313.978,43906.99765835517,0.0,0.0,13012.307341644835
2022-04-01,41,5392.076,-4056.9442113187015,17382.622841102846,0.0,0.0,19966.658370215853
2022-04-01,42,-21204.953,457.903,6446.102,0.0,0.0,1264.615
2022-04-01,43,-8932.497,24564.8142351002,5717.3,0.0,0.0,20118.770764899804
2022-04-01,44,-49683.032,23880.843953419666,6953.503,0.0,0.0,24049.404046580337
2022-04-01,45,-15351.192,2737.7654979808376,3911.375,0.0,0.0,587.1775020191623
2022-04-01,46,10846.121,4282.420769172838,17237.654017321453,0.0,0.0,2490.517213505711
2022-04-01,47,39893.005,4712.87255301916,29958.06444698084,0.0,0.0,0.0
2022-04-01,48,116882.844,13395.76071073398,23846.994579606984,0.0,0.0,864.1247096590331
2022-04-02,1,91789.3,1207.646,28203.671,0.0,0.0,0.0
2022-04-02,2,41858.019,-847.275,41402.858,0.0,0.0,-1e-38
2022-04-02,3,-5420.97,2559.702,33310.325,0.0,0.0,1112.789
2022-04-02,4,44147.594,-2796.615088868948,52185.18208886895,0.0,0.0,-1e-38
2022-04-02,5,32676.51,-3901.519,39838.87,0.0,0.0,0.0
2022-04-02,6,7843.55,-12195.756972810676,39580.44097281068,0.0,0.0,0.0
2022-04-02,7,-5260.946,367.6,21334.5,0.0,0.0,83.838
2022-04-02,8,21868.713,-5611.625,34779.50026576514,0.0,0.0,1145.7697342348586
2022-04-02,9,25713.78,-3857.288,33380.503431708225,0.0,0.0,3948.686568291775
2022-04-02,10,-23270.776,980.984,22119.977,0.0,0.0,355.913
2022-04-02,11,-19597.965,2307.635,19013.41,0.0,0.0,455.699
2022-04-02,12,-46143.521,232.595,14189.9,0.0,0.0,122.866
2022-04-02,13,-2417.436,259.557,13940.0,0.0,0.0,548.772
2022-04-02,14,9077.104,-1465.3362197802198,22581.63521978022,0.0,0.0,0.0
2022-04-02,15,9717.86,-1756.5953969265229,24317.51667300045,0.0,0.0,3197.2897239260733
2022-04-02,16,39055.0,-36.2904832416848,54187.590483241685,0.0,-296.104,0.0
2022-04-02,17,19657.417,-8498.556028919922,52284.62502891992,0.0,0.0,0.0
2022-04-02,18,44557.879,-2870.5532509622744,61625.39432385194,0.0,0.0,121.07792711033088
2022-04-02,19,23303.402,-9415.105,58355.67050609797,0.0,-2015.271,1264.9664939020233
2022-04-02,20,22974.743,-8673.458,57788.801,0.0,0.0,1e-38
2022-04-02,21,32986.147,-2879.088,42156.303,0.0,0.0,1e-38
2022-04-02,22,31426.691,-4035.5339999999997,50856.875,0.0,0.0,1189.233
2022-04-02,23,23258.661,-4629.09436950431,36656.79910796771,0.0,0.0,5816.457261536598
