SETT_DATE,SETT_PERIOD,Energy Imbalance (MWh),Frequency Control Offers (MWh),Frequency Control Bids (MWh),Positive Reserve (MWh),Constraint Offers (MWh),Constraint Bids (MWh),Negative Reserve (MWh),Other (MWh)
2017-04-01,1,-572.883,0.0,-516.195,0.0,325.0,-348.5,0.0,-33.188
2017-04-01,2,-559.19,25.0,-448.892,0.0,325.0,-348.5,0.0,-111.798
2017-04-01,3,-141.802,189.999,-312.807,0.0,325.0,-348.5,0.0,4.506
2017-04-01,4,40.125,260.85,-230.175,0.0,325.0,-348.5,0.0,32.95
2017-04-01,5,139.325,236.083,-209.191,0.0,325.0,-348.5,0.0,135.933
2017-04-01,6,65.949,182.831,-226.715,0.0,325.0,-348.5,0.0,133.333
2017-04-01,7,-18.965,141.543,-219.008,0.0,325.0,-348.5,0.0,82.0
2017-04-01,8,-193.666,52.65,-228.941,0.0,325.0,-348.5,0.0,6.125
2017-04-01,9,-342.516,0.0,-319.016,0.0,325.0,-348.5,0.0,0.0
2017-04-01,10,-260.297,0.0,-226.614,0.0,325.0,-348.5,0.0,-10.183
2017-04-01,11,-508.888,0.0,-441.831,0.0,325.0,-348.5,0.0,-43.557
2017-04-01,12,-372.304,0.0,-349.346,13.35,325.0,-348.5,0.0,-12.808
2017-04-01,13,-141.158,77.542,-214.217,8.35,325.0,-348.5,0.0,10.667
2017-04-01,14,100.476,189.604,-153.675,55.0,325.0,-345.375,0.0,29.922
2017-04-01,15,-131.972,234.246,-272.735,100.916,0.0,-248.674,0.0,54.275
2017-04-01,16,-26.238,28.368,-112.728,181.855,0.0,-162.5,0.0,38.767
2017-04-01,17,-42.878,0.0,-160.822,133.551,0.0,0.0,0.0,-15.607
2017-04-01,18,-275.307,5.25,-251.454,110.549,0.0,0.0,0.0,-139.652
2017-04-01,19,-318.838,0.75,-215.139,127.446,0.0,0.0,0.0,-231.895
2017-04-01,20,-314.074,0.0,-276.684,109.2,0.0,0.0,0.0,-146.59
2017-04-01,21,-284.792,0.0,-244.637,0.0,0.0,0.0,0.0,-40.155
2017-04-01,22,-169.726,0.0,-93.59,0.0,0.0,0.0,0.0,-76.136
2017-04-01,23,109.873,6.0,-25.044,9.267,0.0,0.0,0.0,119.65
2017-04-01,24,52.919,84.125,-43.239,0.0,0.0,0.0,0.0,12.033
2017-04-01,25,80.95,103.708,-31.1,0.0,0.0,0.0,0.0,8.342
2017-04-01,26,-144.041,38.972,-148.922,0.0,0.0,0.0,0.0,-34.091
